frame,x_min,y_min,x_max,y_max
"[[[  3  33  33]
  [  4  34  34]
  [  8  38  38]
  ...
  [178 196 203]
  [178 196 203]
  [178 196 203]]

 [[  3  33  33]
  [  5  35  35]
  [  7  37  37]
  ...
  [178 196 203]
  [178 196 203]
  [178 196 203]]

 [[  4  36  36]
  [  4  36  36]
  [  7  39  39]
  ...
  [177 195 202]
  [177 195 202]
  [177 195 202]]

 ...

 [[  0   9  17]
  [  0  10  18]
  [  0  10  18]
  ...
  [ 71  50  22]
  [ 71  50  22]
  [ 71  50  22]]

 [[  0   9  17]
  [  0  11  19]
  [  0  11  19]
  ...
  [ 77  56  28]
  [ 73  52  24]
  [ 73  52  24]]

 [[  0   9  17]
  [  0  11  19]
  [  0  11  19]
  ...
  [ 77  56  28]
  [ 75  54  26]
  [ 74  53  25]]]",,,,
"[[[  0  31  36]
  [  0  31  36]
  [  0  32  37]
  ...
  [180 196 203]
  [180 196 203]
  [180 196 203]]

 [[  0  31  36]
  [  0  31  36]
  [  0  32  37]
  ...
  [180 196 203]
  [180 196 203]
  [180 196 203]]

 [[  0  35  39]
  [  0  35  39]
  [  0  35  39]
  ...
  [179 195 202]
  [179 195 202]
  [179 195 202]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 79  46  20]
  [ 80  47  21]
  [ 80  47  21]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 86  51  25]
  [ 84  49  23]
  [ 84  49  23]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 89  54  28]
  [ 86  51  25]
  [ 86  51  25]]]",,,,
"[[[  0  32  36]
  [  0  32  36]
  [  0  33  37]
  ...
  [186 194 203]
  [186 194 203]
  [186 194 203]]

 [[  0  32  36]
  [  0  32  36]
  [  0  33  37]
  ...
  [186 194 203]
  [186 194 203]
  [186 194 203]]

 [[  0  35  39]
  [  0  35  39]
  [  0  35  39]
  ...
  [185 193 202]
  [185 193 202]
  [185 193 202]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 88  60  28]
  [ 86  58  26]
  [ 82  54  22]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 88  60  28]
  [ 86  58  26]
  [ 82  54  22]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 89  61  29]
  [ 87  59  27]
  [ 85  57  25]]]",,,,
"[[[  0  27  34]
  [  0  28  35]
  [  0  32  38]
  ...
  [183 194 202]
  [182 193 201]
  [181 192 200]]

 [[  0  26  32]
  [  0  27  33]
  [  0  30  36]
  ...
  [182 193 201]
  [182 193 201]
  [182 193 201]]

 [[  0  27  31]
  [  0  27  31]
  [  0  29  33]
  ...
  [181 192 200]
  [182 193 201]
  [182 193 201]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  59  27]
  [ 85  57  25]
  [ 81  53  21]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  59  27]
  [ 85  57  25]
  [ 82  54  22]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 88  60  28]
  [ 87  59  27]
  [ 84  56  24]]]",,,,
"[[[  4  38  38]
  [  0  30  30]
  [  0  30  30]
  ...
  [177 193 200]
  [177 193 200]
  [177 193 200]]

 [[  3  40  39]
  [  0  31  30]
  [  0  30  29]
  ...
  [177 193 200]
  [177 193 200]
  [177 193 200]]

 [[  2  41  37]
  [  0  33  29]
  [  0  31  27]
  ...
  [178 194 201]
  [177 193 200]
  [177 193 200]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  60  31]
  [ 87  60  31]
  [ 87  60  31]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  60  31]
  [ 87  60  31]
  [ 87  60  31]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  60  31]
  [ 87  60  31]
  [ 87  60  31]]]",,,,
"[[[  8  36  41]
  [  0  28  33]
  [  0  27  32]
  ...
  [177 193 200]
  [177 193 200]
  [177 193 200]]

 [[  8  36  41]
  [  0  28  33]
  [  0  27  32]
  ...
  [177 193 200]
  [177 193 200]
  [177 193 200]]

 [[ 10  38  43]
  [  1  29  34]
  [  0  28  33]
  ...
  [177 193 200]
  [177 193 200]
  [178 194 201]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]]",1,30,141,345
"[[[  6  37  46]
  [  3  33  42]
  [  0  26  35]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 [[  6  37  46]
  [  3  33  42]
  [  0  26  35]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 [[  8  39  48]
  [  4  35  44]
  [  0  27  36]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 ...

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 87  61  29]
  [ 87  61  29]
  [ 87  61  29]]]",,,,
"[[[ 15  42  49]
  [ 15  42  49]
  [ 12  39  46]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 [[  6  33  40]
  [  6  33  40]
  [  2  29  36]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 [[  6  33  40]
  [  5  32  39]
  [  3  29  36]
  ...
  [181 192 200]
  [181 192 200]
  [181 192 200]]

 ...

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 85  64  36]
  [ 86  65  37]
  [ 86  65  37]]

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 83  65  36]
  [ 83  65  36]
  [ 84  66  37]]

 [[  1  10  11]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 83  65  36]
  [ 83  65  36]
  [ 83  65  36]]]",,,,
"[[[ 20  41  45]
  [ 17  38  42]
  [ 11  32  36]
  ...
  [173 193 200]
  [173 193 200]
  [173 193 200]]

 [[ 18  39  43]
  [ 16  37  41]
  [  6  27  31]
  ...
  [173 193 200]
  [173 193 200]
  [173 193 200]]

 [[ 20  41  45]
  [ 17  38  42]
  [ 11  32  36]
  ...
  [173 193 200]
  [173 193 200]
  [173 193 200]]

 ...

 [[  1   9  13]
  [  1   9  13]
  [  2  10  14]
  ...
  [ 93  59  31]
  [ 93  59  31]
  [ 93  59  31]]

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 93  59  31]
  [ 93  59  31]
  [ 93  59  31]]

 [[  2  10  14]
  [  3  11  15]
  [  3  11  15]
  ...
  [ 93  59  31]
  [ 93  59  31]
  [ 93  59  31]]]",4,27,158,343
"[[[  9  50  55]
  [  8  49  54]
  [  7  48  53]
  ...
  [176 192 199]
  [179 195 202]
  [180 196 203]]

 [[  6  49  54]
  [  6  49  54]
  [  6  49  54]
  ...
  [183 199 206]
  [181 197 204]
  [180 196 203]]

 [[  3  49  53]
  [  2  48  52]
  [  4  50  54]
  ...
  [190 206 213]
  [180 196 203]
  [179 195 202]]

 ...

 [[  0   9  10]
  [  1  10  11]
  [  1  10  11]
  ...
  [ 95  59  31]
  [ 94  58  30]
  [ 94  58  30]]

 [[  0   9  10]
  [  0   9  10]
  [  0   9  10]
  ...
  [ 97  61  33]
  [ 96  60  32]
  [ 94  58  30]]

 [[  0   8   9]
  [  0   9  10]
  [  0   9  10]
  ...
  [ 98  62  34]
  [ 97  61  33]
  [ 94  58  30]]]",8,32,150,349
"[[[ 27  51  59]
  [ 26  50  58]
  [ 23  47  55]
  ...
  [180 193 201]
  [180 193 201]
  [180 193 201]]

 [[ 26  53  60]
  [ 25  52  59]
  [ 23  50  57]
  ...
  [179 192 200]
  [179 192 200]
  [180 193 201]]

 [[ 21  50  57]
  [ 19  48  55]
  [ 19  48  55]
  ...
  [178 191 199]
  [178 191 199]
  [179 192 200]]

 ...

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 91  61  34]
  [ 91  61  34]
  [ 90  60  33]]

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 92  62  35]
  [ 92  62  35]
  [ 92  62  35]]

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 93  63  36]
  [ 93  63  36]
  [ 92  62  35]]]",12,29,157,347
"[[[ 26  50  58]
  [ 26  50  58]
  [ 22  46  54]
  ...
  [182 193 201]
  [182 193 201]
  [182 193 201]]

 [[ 27  51  59]
  [ 26  50  58]
  [ 24  48  56]
  ...
  [181 192 200]
  [181 192 200]
  [182 193 201]]

 [[ 24  48  56]
  [ 24  48  56]
  [ 22  46  54]
  ...
  [180 191 199]
  [180 191 199]
  [181 192 200]]

 ...

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 97  56  20]
  [ 99  56  20]
  [100  57  21]]

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [ 99  56  20]
  [101  56  20]
  [102  57  21]]

 [[  2  10  14]
  [  2  10  14]
  [  2  10  14]
  ...
  [101  56  20]
  [103  55  20]
  [104  57  20]]]",,,,
"[[[ 22  56  62]
  [ 20  54  60]
  [ 18  52  58]
  ...
  [182 193 201]
  [182 193 201]
  [182 193 201]]

 [[ 11  47  53]
  [ 11  47  53]
  [ 12  48  54]
  ...
  [181 192 200]
  [181 192 200]
  [182 193 201]]

 [[ 13  49  55]
  [ 13  49  55]
  [ 15  51  57]
  ...
  [180 191 199]
  [180 191 199]
  [181 192 200]]

 ...

 [[  0  10  14]
  [  0  10  14]
  [  0  10  14]
  ...
  [ 95  57  25]
  [ 97  59  27]
  [ 96  58  26]]

 [[  0  10  14]
  [  0  10  14]
  [  0  10  14]
  ...
  [ 98  60  28]
  [ 96  58  26]
  [ 98  58  26]]

 [[  0  10  14]
  [  0  10  14]
  [  0  10  14]
  ...
  [ 97  57  25]
  [ 97  57  25]
  [ 97  57  25]]]",16,20,158,352
"[[[ 16  52  58]
  [ 16  52  58]
  [ 16  52  58]
  ...
  [179 190 198]
  [178 189 197]
  [177 188 196]]

 [[ 16  52  58]
  [ 16  52  58]
  [ 16  52  58]
  ...
  [179 190 198]
  [179 190 198]
  [179 190 198]]

 [[ 17  53  59]
  [ 17  53  59]
  [ 17  53  59]
  ...
  [180 191 199]
  [180 191 199]
  [180 191 199]]

 ...

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 89  58  27]
  [ 90  59  28]
  [ 95  64  33]]

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 94  63  32]
  [102  71  40]
  [ 94  63  32]]

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 90  59  28]
  [ 90  59  28]
  [ 81  50  19]]]",17,27,158,354
"[[[ 22  49  56]
  [ 24  51  58]
  [ 25  52  59]
  ...
  [170 188 195]
  [171 189 196]
  [173 191 198]]

 [[ 25  49  57]
  [ 27  51  59]
  [ 28  52  60]
  ...
  [173 191 198]
  [172 190 197]
  [173 191 198]]

 [[ 19  46  55]
  [ 21  48  57]
  [ 26  53  62]
  ...
  [174 192 199]
  [173 191 198]
  [173 191 198]]

 ...

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 83  55  28]
  [ 85  55  28]
  [ 87  55  27]]

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 85  55  28]
  [ 87  55  27]
  [ 89  55  27]]

 [[  0  11  14]
  [  0  11  14]
  [  0  11  14]
  ...
  [ 85  55  28]
  [ 87  55  27]
  [ 89  55  27]]]",,,,
"[[[ 20  53  64]
  [ 20  53  64]
  [ 20  53  64]
  ...
  [178 186 195]
  [179 187 196]
  [181 189 198]]

 [[ 21  55  63]
  [ 21  55  63]
  [ 21  55  63]
  ...
  [182 190 199]
  [181 189 198]
  [181 189 198]]

 [[ 16  55  62]
  [ 16  55  62]
  [ 16  55  62]
  ...
  [181 189 198]
  [181 189 198]
  [181 189 198]]

 ...

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 78  56  31]
  [ 77  55  30]
  [ 78  56  31]]

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 77  55  30]
  [ 76  54  29]
  [ 74  52  27]]

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 79  57  32]
  [ 81  59  34]
  [ 83  61  36]]]",27,24,158,352
"[[[ 19  50  57]
  [ 21  52  59]
  [ 23  54  61]
  ...
  [178 186 195]
  [179 187 196]
  [181 189 198]]

 [[ 29  56  63]
  [ 29  56  63]
  [ 28  55  62]
  ...
  [182 190 199]
  [181 189 198]
  [181 189 198]]

 [[ 30  54  62]
  [ 30  54  62]
  [ 30  54  62]
  ...
  [181 189 198]
  [181 189 198]
  [181 189 198]]

 ...

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 78  49  33]
  [ 78  49  33]
  [ 81  49  34]]

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 79  50  34]
  [ 77  48  32]
  [ 83  51  36]]

 [[  0  10  13]
  [  0  10  13]
  [  0  10  13]
  ...
  [ 77  49  36]
  [ 77  47  34]
  [ 83  53  40]]]",,,,
"[[[ 20  47  56]
  [ 22  49  58]
  [ 24  51  60]
  ...
  [170 188 195]
  [171 189 196]
  [173 191 198]]

 [[ 27  44  55]
  [ 29  46  57]
  [ 30  47  58]
  ...
  [173 191 198]
  [172 190 197]
  [173 191 198]]

 [[ 27  44  55]
  [ 28  45  56]
  [ 30  47  58]
  ...
  [174 192 199]
  [173 191 198]
  [173 191 198]]

 ...

 [[  0   8  12]
  [  0   8  12]
  [  0   8  12]
  ...
  [ 72  47  24]
  [ 72  47  24]
  [ 72  47  24]]

 [[  0   8  12]
  [  0   8  12]
  [  0   8  12]
  ...
  [ 72  47  24]
  [ 72  47  24]
  [ 72  47  24]]

 [[  0   8  12]
  [  0   8  12]
  [  0   8  12]
  ...
  [ 72  47  24]
  [ 72  47  24]
  [ 72  47  24]]]",34,22,166,350
"[[[ 16  55  60]
  [ 16  55  60]
  [ 16  55  60]
  ...
  [173 191 198]
  [173 191 198]
  [173 191 198]]

 [[ 18  54  60]
  [ 18  54  60]
  [ 18  54  60]
  ...
  [171 189 196]
  [171 189 196]
  [173 191 198]]

 [[ 19  55  63]
  [ 19  55  63]
  [ 19  55  63]
  ...
  [171 189 196]
  [170 188 195]
  [174 192 199]]

 ...

 [[  0   9  10]
  [  0   9  10]
  [  0   9  10]
  ...
  [ 69  50  31]
  [ 69  50  31]
  [ 69  50  31]]

 [[  0   9  10]
  [  0   9  10]
  [  0   9  10]
  ...
  [ 69  50  31]
  [ 69  50  31]
  [ 69  50  31]]

 [[  0   9  10]
  [  0   9  10]
  [  0   9  10]
  ...
  [ 69  50  31]
  [ 69  50  31]
  [ 69  50  31]]]",,,,
"[[[ 16  52  60]
  [ 16  52  60]
  [ 16  52  60]
  ...
  [173 191 198]
  [173 191 198]
  [173 191 198]]

 [[ 17  53  61]
  [ 17  53  61]
  [ 17  53  61]
  ...
  [171 189 196]
  [171 189 196]
  [173 191 198]]

 [[ 15  54  61]
  [ 15  54  61]
  [ 15  54  61]
  ...
  [171 189 196]
  [170 188 195]
  [174 192 199]]

 ...

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 67  44  21]
  [ 69  46  23]
  [ 69  46  23]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 67  44  21]
  [ 69  46  23]
  [ 69  46  23]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 67  44  21]
  [ 69  46  23]
  [ 69  46  23]]]",,,,
"[[[ 14  53  58]
  [ 14  53  58]
  [ 14  53  58]
  ...
  [165 188 194]
  [166 189 195]
  [167 190 196]]

 [[ 15  54  59]
  [ 15  54  59]
  [ 15  54  59]
  ...
  [166 189 195]
  [166 189 195]
  [167 190 196]]

 [[ 13  54  59]
  [ 13  54  59]
  [ 13  54  59]
  ...
  [166 189 195]
  [167 190 196]
  [167 190 196]]

 ...

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 67  37  10]
  [ 68  38  11]
  [ 70  37  11]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 71  41  14]
  [ 71  41  14]
  [ 73  40  14]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 75  45  18]
  [ 75  45  18]
  [ 77  44  18]]]",,,,
"[[[ 31  50  54]
  [ 33  52  56]
  [ 32  56  59]
  ...
  [179 187 196]
  [178 186 195]
  [178 186 195]]

 [[ 28  47  51]
  [ 31  48  52]
  [ 34  48  53]
  ...
  [179 187 196]
  [178 186 195]
  [177 185 194]]

 [[ 22  46  49]
  [ 30  44  49]
  [ 47  39  47]
  ...
  [181 189 198]
  [178 186 195]
  [177 185 194]]

 ...

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 51  49  40]
  [ 52  50  41]
  [ 53  51  42]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 51  49  40]
  [ 52  50  41]
  [ 53  51  42]]

 [[  0  11  16]
  [  0  11  16]
  [  0  11  16]
  ...
  [ 51  49  40]
  [ 52  50  41]
  [ 53  51  42]]]",,,,
"[[[ 22  56  56]
  [ 22  54  54]
  [ 21  53  53]
  ...
  [176 187 195]
  [176 187 195]
  [176 187 195]]

 [[ 22  56  56]
  [ 23  55  55]
  [ 22  54  54]
  ...
  [176 187 195]
  [176 187 195]
  [176 187 195]]

 [[ 19  53  53]
  [ 23  55  55]
  [ 23  55  55]
  ...
  [176 187 195]
  [176 187 195]
  [176 187 195]]

 ...

 [[  0  12  15]
  [  0  12  15]
  [  0  12  15]
  ...
  [ 63  47  37]
  [ 66  49  36]
  [ 66  49  36]]

 [[  0  12  15]
  [  0  12  15]
  [  0  12  15]
  ...
  [ 63  47  37]
  [ 66  49  36]
  [ 66  49  36]]

 [[  0  12  15]
  [  0  12  15]
  [  0  12  15]
  ...
  [ 63  47  37]
  [ 66  49  36]
  [ 66  49  36]]]",,,,
"[[[ 14  55  60]
  [ 14  53  58]
  [ 13  52  57]
  ...
  [175 191 198]
  [175 191 198]
  [176 192 199]]

 [[ 14  55  60]
  [ 15  54  59]
  [ 14  53  58]
  ...
  [175 191 198]
  [175 191 198]
  [176 192 199]]

 [[ 11  52  57]
  [ 15  54  59]
  [ 15  54  59]
  ...
  [177 190 198]
  [177 190 198]
  [177 190 198]]

 ...

 [[  1  12  13]
  [  1  12  13]
  [  1  12  13]
  ...
  [ 49  42  27]
  [ 51  41  27]
  [ 53  41  27]]

 [[  1  12  13]
  [  1  12  13]
  [  1  12  13]
  ...
  [ 50  43  28]
  [ 52  42  28]
  [ 53  41  27]]

 [[  1  12  13]
  [  1  12  13]
  [  1  12  13]
  ...
  [ 50  43  28]
  [ 52  42  28]
  [ 53  41  27]]]",,,,
"[[[ 30  47  63]
  [ 28  45  61]
  [ 29  44  60]
  ...
  [172 185 193]
  [172 185 193]
  [173 186 194]]

 [[ 28  45  61]
  [ 27  44  60]
  [ 27  44  60]
  ...
  [172 185 193]
  [172 185 193]
  [173 186 194]]

 [[ 23  43  58]
  [ 24  44  59]
  [ 24  44  59]
  ...
  [172 185 193]
  [172 185 193]
  [173 186 194]]

 ...

 [[  1  11  15]
  [  1  11  15]
  [  1  11  15]
  ...
  [ 53  40  29]
  [ 47  37  23]
  [ 49  42  27]]

 [[  1  11  15]
  [  1  11  15]
  [  1  11  15]
  ...
  [ 52  39  28]
  [ 55  45  31]
  [ 69  62  47]]

 [[  1  11  15]
  [  1  11  15]
  [  1  11  15]
  ...
  [ 49  36  25]
  [ 51  41  27]
  [ 63  56  41]]]",,,,
"[[[ 24  43  52]
  [ 22  41  50]
  [ 23  40  49]
  ...
  [175 186 194]
  [176 187 195]
  [176 187 195]]

 [[ 13  37  45]
  [ 11  35  43]
  [ 20  42  50]
  ...
  [176 187 195]
  [176 187 195]
  [176 187 195]]

 [[ 16  45  52]
  [ 20  49  56]
  [ 22  49  56]
  ...
  [176 187 195]
  [175 186 194]
  [175 186 194]]

 ...

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 35  56  48]
  [ 25  43  36]
  [ 30  47  38]]

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 34  55  47]
  [ 35  53  46]
  [ 32  48  41]]

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 19  39  34]
  [ 21  39  32]
  [ 28  46  39]]]",,,,
"[[[ 33  45  55]
  [ 25  37  47]
  [ 26  36  46]
  ...
  [173 186 194]
  [172 185 193]
  [171 184 192]]

 [[ 22  39  48]
  [ 15  32  41]
  [ 24  39  48]
  ...
  [175 188 196]
  [176 189 197]
  [178 191 199]]

 [[ 19  41  49]
  [ 23  45  53]
  [ 25  44  53]
  ...
  [174 187 195]
  [173 186 194]
  [173 186 194]]

 ...

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 38  49  38]
  [ 36  48  35]
  [ 36  45  33]]

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 25  38  27]
  [ 32  43  32]
  [ 33  42  30]]

 [[  1  10  16]
  [  1  10  16]
  [  1  10  16]
  ...
  [ 20  33  22]
  [ 26  37  26]
  [ 30  39  27]]]",,,,
"[[[ 21  62  67]
  [ 20  61  66]
  [ 13  54  59]
  ...
  [170 188 195]
  [168 186 193]
  [176 194 201]]

 [[ 23  64  69]
  [ 21  62  67]
  [ 11  52  57]
  ...
  [170 188 195]
  [170 188 195]
  [175 193 200]]

 [[ 21  62  67]
  [ 20  61  66]
  [ 12  53  58]
  ...
  [171 189 196]
  [171 189 196]
  [174 192 199]]

 ...

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 31  34  24]
  [ 41  44  34]
  [ 39  42  32]]

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 31  34  24]
  [ 34  37  27]
  [ 37  40  30]]

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 32  35  25]
  [ 35  38  28]
  [ 37  40  30]]]",46,21,195,353
"[[[ 23  62  67]
  [ 17  56  61]
  [ 12  51  56]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 [[ 26  65  70]
  [ 19  58  63]
  [ 11  50  55]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[ 26  65  70]
  [ 20  59  64]
  [ 12  51  56]
  ...
  [176 189 197]
  [177 190 198]
  [176 189 197]]

 ...

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 18  36  24]
  [ 16  35  21]
  [ 18  37  23]]

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 19  37  25]
  [ 13  32  18]
  [ 13  32  18]]

 [[  0  12  17]
  [  0  12  17]
  [  0  11  16]
  ...
  [ 17  35  23]
  [ 12  31  17]
  [ 13  32  18]]]",45,24,203,353
"[[[ 23  62  67]
  [ 19  58  63]
  [ 14  53  58]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 [[ 26  65  70]
  [ 20  59  64]
  [ 12  51  56]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 [[ 23  62  67]
  [ 19  58  63]
  [ 12  51  56]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 ...

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [  9  33  30]
  [  7  29  24]
  [  5  29  19]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 25  49  46]
  [ 18  40  35]
  [  9  33  23]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 28  52  49]
  [ 16  38  33]
  [  8  32  22]]]",,,,
"[[[  7  62  65]
  [  6  61  64]
  [  4  59  62]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 [[ 11  62  65]
  [ 11  62  65]
  [  9  60  63]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 [[ 18  69  72]
  [ 15  66  69]
  [  8  59  62]
  ...
  [174 187 195]
  [175 188 196]
  [175 188 196]]

 ...

 [[  4  14  18]
  [  4  14  18]
  [  4  14  18]
  ...
  [  2  37  34]
  [  4  37  34]
  [  1  33  28]]

 [[  4  14  18]
  [  4  14  18]
  [  4  14  18]
  ...
  [  5  42  41]
  [ 10  47  46]
  [  4  39  36]]

 [[  4  14  18]
  [  4  14  18]
  [  4  14  18]
  ...
  [  3  42  41]
  [ 10  47  46]
  [  3  38  35]]]",,,,
"[[[ 38  57  66]
  [ 47  66  75]
  [ 37  56  65]
  ...
  [167 190 196]
  [167 190 196]
  [167 190 196]]

 [[ 33  53  60]
  [ 39  59  66]
  [ 38  58  65]
  ...
  [167 190 196]
  [168 191 197]
  [169 192 198]]

 [[ 33  53  60]
  [ 36  56  63]
  [ 37  57  64]
  ...
  [170 193 199]
  [169 192 198]
  [170 193 199]]

 ...

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 12  37  38]
  [ 17  42  43]
  [ 14  37  36]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 13  40  41]
  [ 19  44  45]
  [ 17  40  39]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 13  40  41]
  [ 19  44  45]
  [ 16  39  38]]]",57,15,213,354
"[[[ 31  60  67]
  [ 39  68  75]
  [ 28  57  64]
  ...
  [175 193 200]
  [175 193 200]
  [175 193 200]]

 [[ 27  57  62]
  [ 31  61  66]
  [ 29  59  64]
  ...
  [175 193 200]
  [175 193 200]
  [175 193 200]]

 [[ 25  55  60]
  [ 29  59  64]
  [ 29  59  64]
  ...
  [175 193 200]
  [175 193 200]
  [175 193 200]]

 ...

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 24  40  47]
  [ 23  39  46]
  [ 26  42  49]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 27  43  50]
  [ 26  42  49]
  [ 35  51  58]]

 [[  2  15  18]
  [  2  15  18]
  [  2  15  18]
  ...
  [ 29  45  52]
  [ 38  54  61]
  [ 29  45  52]]]",,,,
